region,mlab_site,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
380_bo,DE-Hamburg,09-01-2010,2.594073,0.300471,73.000000,0.940006,0.046725,2.139564,1795
380_bo,DE-Hamburg,09-01-2011,3.466391,0.326249,69.000000,0.904865,0.084298,2.658723,816
380_bo,DE-Hamburg,10-01-2010,2.378832,0.300388,73.000000,0.913248,0.071772,2.021306,1523
380_bo,DE-Hamburg,11-01-2010,2.182185,0.304273,74.000000,0.916506,0.068037,2.303348,1424
380_bo,DE-Hamburg,12-01-2010,2.417464,0.307388,74.000000,0.926387,0.057276,2.342450,1235
380_bo,FR-Paris,01-01-2010,2.783493,0.294408,65.000000,0.864414,0.117516,1.947040,214
380_bo,FR-Paris,01-01-2011,2.242959,0.300500,73.000000,0.830531,0.155907,1.683115,1686
380_bo,FR-Paris,02-01-2010,3.460397,0.304387,68.000000,0.727096,0.265803,1.812249,619
380_bo,FR-Paris,02-01-2011,3.183280,0.317291,71.000000,0.714100,0.267867,1.832317,1242
380_bo,FR-Paris,03-01-2010,2.885691,0.305710,70.000000,0.826120,0.155356,1.911659,1499
380_bo,FR-Paris,03-01-2011,3.180837,0.320514,71.000000,0.907718,0.075358,2.142268,1349
380_bo,FR-Paris,04-01-2010,2.765528,0.311037,69.000000,0.799563,0.191362,2.028828,2444
380_bo,FR-Paris,05-01-2010,2.467084,0.305858,69.000000,0.831438,0.149549,2.055869,2277
380_bo,FR-Paris,06-01-2010,3.227428,0.305861,70.000000,0.673348,0.319147,2.255203,1754
380_bo,FR-Paris,07-01-2010,3.338939,0.308457,69.000000,0.820384,0.170263,2.195051,1356
380_bo,FR-Paris,07-01-2011,3.996160,0.320073,68.000000,0.760551,0.230029,2.145611,1276
380_bo,FR-Paris,08-01-2010,3.043142,0.302295,72.000000,0.739060,0.252530,1.768307,1123
380_bo,FR-Paris,08-01-2011,3.560759,0.323564,68.000000,0.524939,0.464897,1.829213,257
380_bo,FR-Paris,09-01-2010,2.395031,0.303861,72.000000,0.770555,0.219216,1.380290,1182
380_bo,FR-Paris,10-01-2010,2.399171,0.303503,71.000000,0.801320,0.189093,1.568530,1452
380_bo,FR-Paris,11-01-2010,2.625310,0.304769,71.000000,0.806428,0.181313,1.463018,1508
380_bo,FR-Paris,12-01-2010,2.568079,0.307061,71.000000,0.653883,0.339694,1.498134,1330
380_bo,GR-Athens,01-01-2011,1.600869,0.290473,128.000000,0.864588,0.111336,1.571429,772
380_bo,GR-Athens,02-01-2010,,0.255342,,,,,
380_bo,GR-Athens,02-01-2011,2.085692,0.305313,126.000000,0.754843,0.234589,1.748210,528
380_bo,GR-Athens,03-01-2010,1.848942,0.303189,117.000000,0.825994,0.147020,2.063736,288
380_bo,GR-Athens,03-01-2011,1.925622,0.304932,115.000000,0.887557,0.105014,1.873626,623
380_bo,GR-Athens,04-01-2010,1.830178,0.303072,115.000000,0.729518,0.251175,1.813511,655
380_bo,GR-Athens,05-01-2010,2.079979,0.295957,118.000000,0.825687,0.155063,2.120705,744
380_bo,GR-Athens,06-01-2010,2.422957,0.299297,117.500000,0.836955,0.148506,2.293756,640
380_bo,GR-Athens,07-01-2010,2.357809,0.302873,120.000000,0.847318,0.138322,2.227913,519
380_bo,GR-Athens,07-01-2011,2.388590,0.311035,115.000000,0.875495,0.113698,2.198146,594
380_bo,GR-Athens,08-01-2010,2.402163,0.293869,120.000000,0.773331,0.217357,1.801214,420
380_bo,GR-Athens,08-01-2011,1.699149,0.312619,117.000000,0.906744,0.076863,2.048780,835
380_bo,GR-Athens,09-01-2010,1.841626,0.303194,119.000000,0.829947,0.165442,1.285354,523
380_bo,GR-Athens,09-01-2011,2.299966,0.323610,109.000000,0.894796,0.092474,2.093418,1040
380_bo,GR-Athens,10-01-2010,1.803235,0.297108,113.000000,0.809805,0.181100,1.535941,621
380_bo,GR-Athens,11-01-2010,1.941071,0.299812,111.000000,0.853757,0.125115,1.454447,599
380_bo,GR-Athens,12-01-2010,1.889334,0.304374,124.000000,0.800343,0.176175,1.588353,613
380_bo,NL-Amsterdam,01-01-2011,,0.264993,,,,,
380_bo,NL-Amsterdam,02-01-2010,,0.276360,,,,,
380_bo,NL-Amsterdam,03-01-2010,,0.290162,76.000000,0.912866,0.070539,2.111111,
380_bo,NL-Amsterdam,04-01-2010,,0.254607,,,,,
380_bo,NL-Amsterdam,05-01-2010,,0.265125,,,,,
380_bo,NL-Amsterdam,07-01-2011,,0.300597,69.000000,0.928100,0.061698,2.321267,
380_bo,NL-Amsterdam,08-01-2011,,0.317031,70.000000,0.298268,0.697650,1.800948,
380_bo,NL-Amsterdam,09-01-2011,,0.292341,,,,,
380_bo,NL-Amsterdam,11-01-2010,,0.277285,,,,,
380_bo,NL-Amsterdam,12-01-2010,,0.292784,,,,,
380_bo,NL-Amsterdam-2,02-01-2010,,0.282126,,,,,
380_bo,NL-Amsterdam-2,03-01-2010,,0.272186,,,,,
380_bo,UK-London,01-01-2011,,0.271177,,,,,
380_bo,UK-London,02-01-2010,1.779617,0.282345,75.000000,0.923294,0.069545,1.828947,216
380_bo,UK-London,02-01-2011,,0.299490,,,,,
380_bo,UK-London,03-01-2010,1.701964,0.288003,77.000000,0.906344,0.082159,1.618721,327
380_bo,UK-London,03-01-2011,,0.317039,,,,,
380_bo,UK-London,04-01-2010,,0.281532,77.000000,0.892946,0.096171,1.640351,
380_bo,UK-London,05-01-2010,,0.277400,78.000000,0.849197,0.147741,1.984064,
380_bo,UK-London,06-01-2010,,0.281610,76.000000,0.676585,0.320241,1.835749,
380_bo,UK-London,07-01-2010,,0.265412,,,,,
380_bo,UK-London,07-01-2011,,0.300909,,,,,
380_bo,UK-London,08-01-2010,,0.236056,,,,,
380_bo,UK-London,08-01-2011,,0.308669,70.500000,0.583003,0.409656,2.017316,
380_bo,UK-London,09-01-2011,,0.310163,69.000000,0.757618,0.236503,2.159864,
380_bo,UK-London,12-01-2010,,0.274478,,,,,
380_bo,US-CA-LosAngeles,03-01-2010,,0.234086,,,,,
380_br,FR-Paris,05-01-2010,,0.280512,,,,,
380_bs,DE-Hamburg,01-01-2011,2.097953,0.287925,68.000000,0.896375,0.089412,2.277913,1158
380_bs,DE-Hamburg,02-01-2011,2.346094,0.295409,68.000000,0.896740,0.090154,2.440711,682
380_bs,DE-Hamburg,03-01-2010,,0.281338,,,,,
380_bs,DE-Hamburg,03-01-2011,2.771958,0.299567,67.000000,0.886789,0.097028,2.581583,868
380_bs,DE-Hamburg,04-01-2010,,0.277465,70.000000,0.767806,0.226029,1.942966,
380_bs,DE-Hamburg,05-01-2010,,0.283585,69.000000,0.525201,0.465324,2.000000,
380_bs,DE-Hamburg,06-01-2010,,0.266269,72.000000,0.879171,0.101578,2.076364,
380_bs,DE-Hamburg,07-01-2010,,0.284193,71.000000,0.702455,0.292416,1.728571,
380_bs,DE-Hamburg,07-01-2011,2.937078,0.305272,69.000000,0.807705,0.166160,2.728499,393
380_bs,DE-Hamburg,08-01-2010,2.780987,0.274264,72.000000,0.859091,0.124582,2.005417,1226
380_bs,DE-Hamburg,08-01-2011,2.929525,0.309401,69.000000,0.886366,0.106996,2.667820,586
380_bs,DE-Hamburg,09-01-2010,2.497264,0.281792,71.000000,0.918248,0.062880,2.072019,1469
380_bs,DE-Hamburg,09-01-2011,3.020873,0.314362,69.000000,0.904529,0.080150,2.738423,560
380_bs,DE-Hamburg,10-01-2010,2.598795,0.285127,71.000000,0.905932,0.078273,2.285411,1322
380_bs,DE-Hamburg,11-01-2010,2.435066,0.284376,69.000000,0.897332,0.087324,2.162556,1261
380_bs,DE-Hamburg,12-01-2010,2.089689,0.287701,68.000000,0.908691,0.077789,2.352941,1029
380_bs,FR-Paris,01-01-2010,,0.273467,66.000000,0.416944,0.579175,1.491071,
380_bs,FR-Paris,01-01-2011,2.216914,0.295851,63.000000,0.749771,0.244226,1.451324,1708
380_bs,FR-Paris,02-01-2010,3.066318,0.280688,64.000000,0.534687,0.454744,1.818458,588
380_bs,FR-Paris,02-01-2011,2.403590,0.297564,64.000000,0.702806,0.287856,1.567745,1245
380_bs,FR-Paris,03-01-2010,3.024513,0.283507,64.000000,0.406468,0.585570,1.739964,1299
380_bs,FR-Paris,03-01-2011,2.661912,0.302514,64.000000,0.732150,0.261821,1.807869,1224
380_bs,FR-Paris,04-01-2010,3.069240,0.288663,64.000000,0.501905,0.483311,1.969274,2333
380_bs,FR-Paris,05-01-2010,2.984440,0.281669,65.000000,0.581597,0.407910,2.124260,2198
380_bs,FR-Paris,06-01-2010,2.982428,0.281669,64.000000,0.530353,0.464301,1.956929,1590
380_bs,FR-Paris,07-01-2010,3.117333,0.284361,64.000000,0.518040,0.471071,1.936286,1308
380_bs,FR-Paris,07-01-2011,2.958296,0.311559,64.000000,0.679903,0.306415,1.991034,908
380_bs,FR-Paris,08-01-2010,3.308127,0.284333,64.000000,0.568047,0.408524,1.619956,1122
380_bs,FR-Paris,08-01-2011,3.012355,0.310860,64.000000,0.665456,0.320633,2.140230,270
380_bs,FR-Paris,09-01-2010,2.667766,0.281771,65.000000,0.675398,0.307722,1.563282,1233
380_bs,FR-Paris,10-01-2010,2.575793,0.284893,65.000000,0.747509,0.237918,1.491525,1368
380_bs,FR-Paris,11-01-2010,2.348941,0.286139,63.000000,0.794720,0.199300,1.616701,1619
380_bs,FR-Paris,12-01-2010,2.208651,0.292959,64.000000,0.717210,0.267381,1.415613,1453
380_bs,GR-Athens,01-01-2011,1.516941,0.285814,122.000000,0.850450,0.138084,1.727713,688
380_bs,GR-Athens,02-01-2010,,0.247396,,,,,
380_bs,GR-Athens,02-01-2011,1.756177,0.287751,119.000000,0.859421,0.126396,1.796438,522
380_bs,GR-Athens,03-01-2010,2.090407,0.277854,117.000000,0.481726,0.513265,1.658879,249
380_bs,GR-Athens,03-01-2011,2.153368,0.296581,113.000000,0.872353,0.121078,2.098204,571
380_bs,GR-Athens,04-01-2010,2.079763,0.281417,119.000000,0.663612,0.325360,1.889231,578
380_bs,GR-Athens,05-01-2010,1.949205,0.271694,121.000000,0.738848,0.242787,2.101474,732
380_bs,GR-Athens,06-01-2010,2.238539,0.269990,116.000000,0.778019,0.216235,2.044521,544
380_bs,GR-Athens,07-01-2010,2.733076,0.279177,117.500000,0.775177,0.205518,2.242091,432
380_bs,GR-Athens,07-01-2011,2.395757,0.299945,111.000000,0.794012,0.191537,2.134921,413
380_bs,GR-Athens,08-01-2010,2.511988,0.280598,114.000000,0.709327,0.278996,1.719745,372
380_bs,GR-Athens,08-01-2011,1.846715,0.305887,111.000000,0.917993,0.069608,2.175691,697
380_bs,GR-Athens,09-01-2010,2.092021,0.287876,116.000000,0.694323,0.294926,1.449275,409
380_bs,GR-Athens,09-01-2011,2.128973,0.304971,107.000000,0.913782,0.070862,2.009625,811
380_bs,GR-Athens,10-01-2010,1.743119,0.281261,111.000000,0.815823,0.171052,1.607407,516
380_bs,GR-Athens,11-01-2010,1.463092,0.281712,112.000000,0.780886,0.201701,1.587145,497
380_bs,GR-Athens,12-01-2010,1.688333,0.288075,118.000000,0.830150,0.156448,1.780973,573
380_bs,NL-Amsterdam,01-01-2011,,0.259591,,,,,
380_bs,NL-Amsterdam,02-01-2010,,0.266272,,,,,
380_bs,NL-Amsterdam,02-01-2011,,0.281772,,,,,
380_bs,NL-Amsterdam,03-01-2010,,0.276165,,,,,
380_bs,NL-Amsterdam,05-01-2010,,0.258800,,,,,
380_bs,NL-Amsterdam,08-01-2011,,0.308453,,,,,
380_bs,NL-Amsterdam,09-01-2011,,0.281541,69.000000,0.774506,0.209189,1.853774,
380_bs,NL-Amsterdam,10-01-2010,,0.256357,,,,,
380_bs,NL-Amsterdam,11-01-2010,,0.262529,,,,,
380_bs,NL-Amsterdam,12-01-2010,,0.278755,,,,,
380_bs,NL-Amsterdam-2,02-01-2010,,0.276163,,,,,
380_bs,NL-Amsterdam-2,03-01-2010,,0.273193,,,,,
380_bs,UK-London,01-01-2011,,0.264360,,,,,
380_bs,UK-London,02-01-2010,,0.281066,65.000000,0.571977,0.421459,1.731707,
380_bs,UK-London,02-01-2011,,0.266593,,,,,
380_bs,UK-London,03-01-2010,1.958172,0.270520,67.000000,0.533697,0.463003,1.509485,218
380_bs,UK-London,03-01-2011,,0.300564,,,,,
380_bs,UK-London,04-01-2010,,0.272654,64.000000,0.558735,0.436947,1.435556,
380_bs,UK-London,05-01-2010,,0.249006,,,,,
380_bs,UK-London,06-01-2010,,0.268966,,,,,
380_bs,UK-London,07-01-2010,,0.271587,,,,,
380_bs,UK-London,07-01-2011,,0.298253,,,,,
380_bs,UK-London,08-01-2011,,0.312378,66.000000,0.675901,0.284871,2.160550,
380_bs,UK-London,09-01-2011,,0.297643,68.500000,0.752405,0.243978,1.791519,
380_bs,UK-London,12-01-2010,,0.273449,,,,,
380_bz,DE-Hamburg,01-01-2011,,0.267213,,,,,
380_bz,DE-Hamburg,09-01-2010,,0.256624,63.500000,0.923020,0.064135,2.442857,
380_bz,DE-Hamburg,10-01-2010,,0.278676,,,,,
380_bz,FR-Paris,02-01-2011,,0.291057,,,,,
380_bz,FR-Paris,04-01-2010,,0.282721,,,,,
380_bz,FR-Paris,05-01-2010,,0.268894,,,,,
380_bz,FR-Paris,06-01-2010,,0.282327,,,,,
380_ca,DE-Hamburg,01-01-2011,2.398100,0.279198,83.000000,0.911222,0.077108,2.410487,969
380_ca,DE-Hamburg,02-01-2011,2.582625,0.301975,82.000000,0.877685,0.098705,2.425110,610
380_ca,DE-Hamburg,03-01-2010,,0.279830,,,,,
380_ca,DE-Hamburg,03-01-2011,2.588466,0.291312,84.000000,0.896122,0.086139,2.640124,671
380_ca,DE-Hamburg,04-01-2010,,0.274557,78.000000,0.638488,0.358293,1.692308,
380_ca,DE-Hamburg,05-01-2010,,0.280962,80.000000,0.853319,0.130401,2.137457,
380_ca,DE-Hamburg,06-01-2010,,0.292177,79.000000,0.558360,0.438890,2.055300,
380_ca,DE-Hamburg,07-01-2010,,0.291382,79.000000,0.654218,0.330533,2.170124,
380_ca,DE-Hamburg,07-01-2011,3.691277,0.319214,82.000000,0.908152,0.074831,2.918200,341
380_ca,DE-Hamburg,08-01-2010,2.933990,0.281153,79.000000,0.883452,0.103446,1.991441,923
380_ca,DE-Hamburg,08-01-2011,3.938074,0.317502,79.000000,0.887630,0.099689,2.822802,497
380_ca,DE-Hamburg,09-01-2010,2.718827,0.274282,82.000000,0.905833,0.076141,2.309333,1304
380_ca,DE-Hamburg,09-01-2011,3.566326,0.315615,79.000000,0.894311,0.092283,2.754902,354
380_ca,DE-Hamburg,10-01-2010,2.473115,0.277291,82.000000,0.903299,0.085229,2.258950,1171
380_ca,DE-Hamburg,11-01-2010,2.626741,0.276475,81.000000,0.925993,0.062327,2.515954,1059
380_ca,DE-Hamburg,12-01-2010,2.663306,0.282588,82.000000,0.876791,0.104483,2.387270,901
380_ca,FR-Paris,01-01-2010,,0.279781,72.000000,0.800887,0.193021,1.816609,
380_ca,FR-Paris,01-01-2011,2.391760,0.296967,79.000000,0.867226,0.121078,1.734931,1931
380_ca,FR-Paris,02-01-2010,3.019753,0.281556,75.500000,0.498003,0.494692,1.710280,558
380_ca,FR-Paris,02-01-2011,2.776096,0.301939,80.000000,0.864315,0.125147,1.868493,1493
380_ca,FR-Paris,03-01-2010,2.797144,0.282284,74.000000,0.542802,0.450387,1.789543,1359
380_ca,FR-Paris,03-01-2011,2.738402,0.298536,78.000000,0.847686,0.144023,1.967197,1370
380_ca,FR-Paris,04-01-2010,2.881775,0.287892,75.000000,0.768768,0.217519,1.846367,2560
380_ca,FR-Paris,05-01-2010,2.309460,0.284088,77.000000,0.865776,0.125242,2.043467,2613
380_ca,FR-Paris,06-01-2010,3.117009,0.290373,75.000000,0.753110,0.232626,2.164274,2017
380_ca,FR-Paris,07-01-2010,3.524896,0.297668,76.000000,0.602027,0.387143,2.097869,1517
380_ca,FR-Paris,07-01-2011,4.260217,0.315306,76.000000,0.871143,0.121345,2.466837,1043
380_ca,FR-Paris,08-01-2010,3.231969,0.295128,77.000000,0.737733,0.247669,1.766001,1216
380_ca,FR-Paris,08-01-2011,3.811049,0.316118,79.000000,0.764056,0.232205,2.004796,262
380_ca,FR-Paris,09-01-2010,2.363910,0.291173,76.000000,0.759771,0.218781,1.405611,1320
380_ca,FR-Paris,10-01-2010,2.613062,0.293775,76.000000,0.752858,0.237312,1.642038,1493
380_ca,FR-Paris,11-01-2010,2.363747,0.291315,78.000000,0.817191,0.169705,1.451215,1690
380_ca,FR-Paris,12-01-2010,2.159470,0.294141,80.000000,0.757527,0.232145,1.499144,1530
380_ca,GR-Athens,01-01-2011,1.732868,0.281645,134.000000,0.858477,0.128737,1.575540,785
380_ca,GR-Athens,02-01-2010,,0.249306,,,,,
380_ca,GR-Athens,02-01-2011,2.145263,0.290018,128.000000,0.852932,0.132660,1.762222,599
380_ca,GR-Athens,03-01-2010,2.217658,0.281029,125.000000,0.841011,0.153782,2.054230,286
380_ca,GR-Athens,03-01-2011,2.613280,0.284593,122.000000,0.781060,0.197098,1.987097,614
380_ca,GR-Athens,04-01-2010,2.208981,0.281409,126.500000,0.835603,0.149681,1.992623,763
380_ca,GR-Athens,05-01-2010,2.214549,0.270602,129.000000,0.786546,0.198346,2.221723,812
380_ca,GR-Athens,06-01-2010,2.201109,0.273146,126.000000,0.778463,0.211474,2.211903,693
380_ca,GR-Athens,07-01-2010,2.493038,0.285013,128.000000,0.651485,0.314422,2.033806,536
380_ca,GR-Athens,07-01-2011,2.919682,0.307567,125.000000,0.895677,0.092048,2.717988,477
380_ca,GR-Athens,08-01-2010,2.195181,0.280624,126.000000,0.830961,0.158166,1.725095,488
380_ca,GR-Athens,08-01-2011,2.214133,0.309247,122.000000,0.926553,0.064501,2.309450,723
380_ca,GR-Athens,09-01-2010,1.908223,0.281505,128.000000,0.797452,0.190969,1.400901,549
380_ca,GR-Athens,09-01-2011,2.744929,0.305997,118.000000,0.919884,0.067941,2.306513,803
380_ca,GR-Athens,10-01-2010,1.775377,0.283370,123.000000,0.851656,0.128939,1.593970,647
380_ca,GR-Athens,11-01-2010,1.753934,0.271535,125.000000,0.838700,0.148748,1.607059,560
380_ca,GR-Athens,12-01-2010,1.890578,0.282208,130.000000,0.752563,0.230484,1.476471,640
380_ca,NL-Amsterdam,03-01-2010,,0.274497,,,,,
380_ca,NL-Amsterdam,09-01-2011,,0.296892,,,,,
380_ca,NL-Amsterdam,11-01-2010,,0.269162,,,,,
380_ca,NL-Amsterdam,12-01-2010,,0.280799,,,,,
380_ca,NL-Amsterdam-2,03-01-2010,,0.271663,,,,,
380_ca,UK-London,01-01-2011,,0.261944,,,,,
380_ca,UK-London,02-01-2010,,0.272263,76.000000,0.207351,0.784163,0.847134,
380_ca,UK-London,03-01-2010,1.531619,0.279361,79.000000,0.822035,0.159524,1.539503,295
380_ca,UK-London,03-01-2011,,0.281373,,,,,
380_ca,UK-London,04-01-2010,,0.267567,77.000000,0.637958,0.351455,1.691630,
380_ca,UK-London,05-01-2010,,0.264558,79.000000,0.623446,0.371729,1.666667,
380_ca,UK-London,06-01-2010,,0.269348,,,,,
380_ca,UK-London,07-01-2010,,0.280520,80.000000,0.724686,0.257283,1.686275,
380_ca,UK-London,08-01-2010,,0.266253,,,,,
380_ca,UK-London,08-01-2011,,0.297795,,,,,
380_ca,UK-London,09-01-2011,,0.302221,79.000000,0.935048,0.053532,2.355856,
380_ca,UK-London,12-01-2010,,0.286065,,,,,
380_ca,US-NY-NewYork,03-01-2010,,0.272854,,,,,
380_ce,FR-Paris,05-01-2010,,0.288994,,,,,
380_ce,FR-Paris,07-01-2011,,0.325788,47.000000,0.505797,0.477959,1.909434,
380_ce,GR-Athens,09-01-2011,,0.305734,,,,,
380_ch,FR-Paris,01-01-2011,,0.271017,,,,,
380_ch,FR-Paris,04-01-2010,,0.284248,78.000000,0.888169,0.100884,1.913669,
380_ch,FR-Paris,05-01-2010,,0.301187,76.500000,0.760844,0.222033,1.887967,
380_ch,FR-Paris,06-01-2010,,0.277753,75.000000,0.882637,0.108598,2.933014,
380_ch,FR-Paris,07-01-2010,,0.264490,,,,,
380_ch,FR-Paris,10-01-2010,,0.259963,,,,,
380_ch,FR-Paris,11-01-2010,,0.275127,,,,,
380_ch,FR-Paris,12-01-2010,,0.285519,,,,,
380_co,DE-Hamburg,01-01-2011,1.915207,0.276057,75.000000,0.632715,0.360050,2.340330,382
380_co,DE-Hamburg,02-01-2011,1.774429,0.281127,77.000000,0.763612,0.230164,2.400000,262
380_co,DE-Hamburg,03-01-2011,2.050194,0.275789,78.000000,0.642522,0.336628,2.737475,300
380_co,DE-Hamburg,05-01-2010,,0.271790,,,,,
380_co,DE-Hamburg,06-01-2010,,0.260849,,,,,
380_co,DE-Hamburg,07-01-2011,,0.291150,74.000000,0.898642,0.090410,3.120968,
380_co,DE-Hamburg,08-01-2010,2.924319,0.275374,76.000000,0.548537,0.446475,2.250368,388
380_co,DE-Hamburg,08-01-2011,3.073630,0.286966,70.000000,0.767914,0.211901,2.955145,240
380_co,DE-Hamburg,09-01-2010,2.609883,0.277739,75.000000,0.700719,0.280270,2.033776,505
380_co,DE-Hamburg,09-01-2011,,0.299659,70.000000,0.756984,0.215990,2.851485,
380_co,DE-Hamburg,10-01-2010,2.167325,0.274701,76.000000,0.806512,0.180237,2.128467,434
380_co,DE-Hamburg,11-01-2010,2.493750,0.275812,75.000000,0.826641,0.150358,2.437406,423
380_co,DE-Hamburg,12-01-2010,2.583166,0.281711,76.000000,0.758074,0.222521,2.535714,352
380_co,FR-Paris,01-01-2011,2.897565,0.290640,67.000000,0.279027,0.706405,1.887597,511
380_co,FR-Paris,02-01-2010,,0.285063,64.000000,0.281587,0.711928,1.588235,
380_co,FR-Paris,02-01-2011,1.876566,0.280659,71.000000,0.491319,0.486534,2.059252,541
380_co,FR-Paris,03-01-2010,2.884522,0.284468,64.000000,0.401445,0.593776,1.822997,431
380_co,FR-Paris,03-01-2011,2.055337,0.275846,70.000000,0.464754,0.518700,2.006977,482
380_co,FR-Paris,04-01-2010,2.323292,0.270807,68.000000,0.398160,0.590554,2.102713,859
380_co,FR-Paris,05-01-2010,2.685787,0.266514,70.000000,0.353566,0.635306,2.137534,791
380_co,FR-Paris,06-01-2010,2.388442,0.274105,70.500000,0.342011,0.647790,2.188728,636
380_co,FR-Paris,07-01-2010,2.641805,0.277987,70.000000,0.335347,0.657502,2.306358,456
380_co,FR-Paris,07-01-2011,2.960391,0.297207,68.000000,0.388163,0.608301,2.158805,348
380_co,FR-Paris,08-01-2010,2.665944,0.270665,70.000000,0.288245,0.697973,1.905371,387
380_co,FR-Paris,08-01-2011,,0.308412,,,,,
380_co,FR-Paris,09-01-2010,2.359186,0.274501,69.000000,0.381734,0.607950,1.786974,407
380_co,FR-Paris,10-01-2010,2.788154,0.282953,67.000000,0.316010,0.673941,1.951279,439
380_co,FR-Paris,11-01-2010,2.332707,0.272667,69.000000,0.447746,0.541243,1.917550,467
380_co,FR-Paris,12-01-2010,2.307260,0.284308,67.000000,0.422683,0.568424,2.026190,451
380_co,GR-Athens,01-01-2011,,0.265624,125.000000,0.483777,0.510483,1.854342,
380_co,GR-Athens,02-01-2011,1.284308,0.271537,128.000000,0.874781,0.097530,1.863747,271
380_co,GR-Athens,03-01-2011,1.575557,0.255374,120.000000,0.635287,0.355589,2.357724,211
380_co,GR-Athens,04-01-2010,1.997156,0.277023,117.000000,0.431874,0.556561,2.179747,217
380_co,GR-Athens,05-01-2010,1.932159,0.256865,120.000000,0.396129,0.590705,2.605140,227
380_co,GR-Athens,06-01-2010,1.983308,0.255496,119.000000,0.820351,0.173953,2.614706,219
380_co,GR-Athens,07-01-2010,,0.247615,120.000000,0.413616,0.564608,2.382022,
380_co,GR-Athens,07-01-2011,,0.286734,114.000000,0.743726,0.249919,2.262976,
380_co,GR-Athens,08-01-2010,,0.263109,120.000000,0.491502,0.497691,2.172662,
380_co,GR-Athens,08-01-2011,1.624451,0.297650,114.000000,0.902027,0.086798,2.153639,265
380_co,GR-Athens,09-01-2010,,0.257257,119.000000,0.747792,0.240182,2.380769,
380_co,GR-Athens,09-01-2011,1.969832,0.298006,107.500000,0.897102,0.094643,2.220379,309
380_co,GR-Athens,10-01-2010,,0.280911,116.000000,0.686210,0.305075,1.865385,
380_co,GR-Athens,11-01-2010,,0.279639,114.000000,0.812602,0.177351,2.080420,
380_co,GR-Athens,12-01-2010,,0.294812,122.000000,0.729969,0.257748,1.838095,
380_co,UK-London,03-01-2010,,0.280498,,,,,
380_cr,FR-Paris,01-01-2011,,0.273026,38.000000,0.934896,0.056678,1.678571,
380_cr,FR-Paris,02-01-2011,,0.306788,,,,,
380_cr,FR-Paris,03-01-2011,,0.347676,37.000000,0.857962,0.131745,1.239437,
380_cr,FR-Paris,04-01-2010,,0.394574,39.000000,0.891849,0.091722,1.414847,
380_cr,FR-Paris,05-01-2010,,0.306607,37.000000,0.841200,0.152635,1.841629,
380_cr,FR-Paris,06-01-2010,,0.173616,,,,,
380_cr,FR-Paris,07-01-2010,,0.243418,,,,,
380_cr,FR-Paris,10-01-2010,,0.289550,,,,,
380_cr,FR-Paris,11-01-2010,,0.243957,38.000000,0.911261,0.076523,1.955556,
380_cr,FR-Paris,12-01-2010,,0.246936,35.000000,0.934757,0.054091,1.514706,
380_cs,DE-Hamburg,01-01-2011,1.565159,0.239462,97.000000,0.891848,0.081536,2.521242,450
380_cs,DE-Hamburg,02-01-2011,1.945445,0.262061,94.000000,0.923584,0.059100,2.488432,289
380_cs,DE-Hamburg,03-01-2011,2.153977,0.261883,94.000000,0.916491,0.064288,2.717391,352
380_cs,DE-Hamburg,05-01-2010,,0.270718,,,,,
380_cs,DE-Hamburg,07-01-2011,3.189931,0.282467,91.000000,0.928107,0.060313,3.500000,220
380_cs,DE-Hamburg,08-01-2010,1.968004,0.252076,95.000000,0.915881,0.062572,2.060559,474
380_cs,DE-Hamburg,08-01-2011,3.147134,0.287400,92.000000,0.911563,0.072285,2.867209,285
380_cs,DE-Hamburg,09-01-2010,1.759116,0.246828,94.000000,0.935087,0.051230,2.496723,605
380_cs,DE-Hamburg,09-01-2011,3.464688,0.295414,91.500000,0.931327,0.053911,2.993174,227
380_cs,DE-Hamburg,10-01-2010,1.497087,0.246054,96.000000,0.912851,0.068845,1.894515,539
380_cs,DE-Hamburg,11-01-2010,1.577852,0.248011,96.000000,0.913057,0.074096,2.243590,461
380_cs,DE-Hamburg,12-01-2010,1.718206,0.246268,95.000000,0.913470,0.070953,2.724613,435
380_cs,FR-Paris,01-01-2010,,0.274807,,,,,
380_cs,FR-Paris,01-01-2011,1.505698,0.252182,88.000000,0.888256,0.096786,1.556596,833
380_cs,FR-Paris,02-01-2010,3.139173,0.274884,86.000000,0.572219,0.419696,1.736842,343
380_cs,FR-Paris,02-01-2011,1.702249,0.261069,87.000000,0.923704,0.061864,1.863964,835
380_cs,FR-Paris,03-01-2010,2.847083,0.274263,86.000000,0.803031,0.165351,1.861089,802
380_cs,FR-Paris,03-01-2011,2.113730,0.275928,86.000000,0.897035,0.085038,2.189938,706
380_cs,FR-Paris,04-01-2010,2.455851,0.274336,88.000000,0.863835,0.118843,2.243767,1453
380_cs,FR-Paris,05-01-2010,3.012893,0.276974,85.000000,0.810562,0.174985,2.285225,1316
380_cs,FR-Paris,06-01-2010,2.915822,0.275993,86.000000,0.833329,0.154794,2.193645,1137
380_cs,FR-Paris,07-01-2010,2.560107,0.269037,85.000000,0.851062,0.137643,2.238506,936
