region,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_04,11-01-2010,2.924443,0.683689,103.000000,0.791001,0.197279,0.982940,1421
100_04,12-01-2010,2.849500,0.715326,99.000000,0.837749,0.156569,0.802562,1681
100_05,01-01-2011,2.982755,1.044716,95.000000,0.813261,0.183503,0.698193,696
100_05,02-01-2010,,0.781666,74.500000,0.610559,0.383882,1.066176,
100_05,02-01-2011,3.221338,1.087546,88.000000,0.872119,0.121572,1.142119,575
100_05,03-01-2010,3.318744,0.762239,88.000000,0.715976,0.279304,1.382671,385
100_05,03-01-2011,3.510516,0.964884,82.000000,0.724502,0.264148,0.926004,672
100_05,04-01-2010,3.337538,0.714216,90.000000,0.627698,0.363964,1.072363,765
100_05,05-01-2010,3.450510,0.804997,94.000000,0.717962,0.273500,1.750767,903
100_05,06-01-2010,3.197420,0.812875,105.000000,0.600738,0.394114,1.569356,722
100_05,07-01-2010,3.181184,0.883135,103.000000,0.641596,0.350573,1.269269,704
100_05,07-01-2011,4.401222,1.085404,79.000000,0.840838,0.147591,1.591185,484
100_05,08-01-2010,3.131221,0.965474,94.500000,0.786541,0.207315,1.103093,418
100_05,08-01-2011,3.033042,1.040699,84.000000,0.924398,0.065684,1.312715,440
100_05,09-01-2010,2.293188,1.076443,97.000000,0.791572,0.199639,1.013158,411
100_05,09-01-2011,3.517453,1.172177,83.000000,0.881030,0.112205,1.695082,464
100_05,10-01-2010,2.436794,1.166381,93.000000,0.798159,0.189740,0.984516,526
100_05,11-01-2010,2.475103,1.166598,92.000000,0.868741,0.120108,1.004890,602
100_05,12-01-2010,2.693303,1.044906,98.000000,0.857208,0.134769,1.138116,705
100_06,01-01-2010,,0.605232,,,,,
100_06,01-01-2011,3.022581,0.719869,94.000000,0.623170,0.371742,0.767740,2143
100_06,02-01-2010,3.249628,0.643228,80.000000,0.668309,0.316658,1.236931,745
100_06,02-01-2011,3.863837,0.770586,86.000000,0.543360,0.448081,0.862812,1907
100_06,03-01-2010,3.168150,0.643515,92.000000,0.582829,0.410821,1.371455,1350
100_06,03-01-2011,4.277373,0.826349,82.000000,0.584380,0.408886,0.953432,1894
100_06,04-01-2010,3.368369,0.661488,99.000000,0.510443,0.478019,1.389376,2406
100_06,05-01-2010,3.594590,0.682739,101.000000,0.542243,0.450588,1.779669,2430
100_06,06-01-2010,3.439224,0.682959,110.000000,0.586408,0.403611,1.716402,2266
100_06,07-01-2010,3.178964,0.687739,107.000000,0.527112,0.463661,1.442313,2000
100_06,07-01-2011,4.546687,1.218374,81.000000,0.604167,0.389561,1.303860,1472
100_06,08-01-2010,2.793507,0.657619,107.000000,0.407051,0.582338,0.854317,1275
100_06,08-01-2011,3.965041,1.245999,86.000000,0.746683,0.246374,1.193659,1417
100_06,09-01-2010,2.786105,0.676415,107.000000,0.545343,0.447133,0.839829,1427
100_06,09-01-2011,4.245423,1.286232,82.000000,0.636487,0.356554,1.287356,1403
100_06,10-01-2010,2.592504,0.754273,100.000000,0.568219,0.421794,0.796797,1782
100_06,11-01-2010,3.079295,0.773906,96.000000,0.462601,0.534171,0.879148,1777
100_06,12-01-2010,3.226813,0.791476,94.000000,0.550337,0.442188,0.833277,1824
100_07,01-01-2010,,0.603988,75.000000,0.756146,0.240532,1.246964,
100_07,01-01-2011,2.487903,0.755524,105.000000,0.833950,0.158330,0.909058,2014
100_07,02-01-2010,2.880120,0.620867,77.000000,0.888136,0.098444,1.422200,754
100_07,02-01-2011,2.992531,0.774384,94.000000,0.821671,0.168972,0.965733,1722
100_07,03-01-2010,2.563739,0.706595,101.000000,0.817870,0.171431,1.267472,1357
100_07,03-01-2011,3.132641,0.827898,91.000000,0.725835,0.264522,0.811715,1614
100_07,04-01-2010,2.630569,0.709184,107.000000,0.739251,0.254574,1.215473,2452
100_07,05-01-2010,2.785966,0.720080,109.000000,0.693189,0.294941,1.414467,2614
100_07,06-01-2010,2.850890,0.713100,106.000000,0.713287,0.279289,1.397673,2345
100_07,07-01-2010,2.812800,0.714055,108.000000,0.741232,0.249152,1.344110,2210
100_07,07-01-2011,3.715420,0.901035,90.000000,0.816176,0.177018,1.130603,1319
100_07,08-01-2010,2.787126,0.764231,112.000000,0.633715,0.356551,1.029648,1268
100_07,08-01-2011,3.092838,0.811771,93.000000,0.777003,0.216402,0.958255,1142
100_07,09-01-2010,2.504572,0.764347,113.000000,0.755191,0.237681,0.809193,1285
100_07,09-01-2011,3.599311,1.085952,90.000000,0.819672,0.176020,1.255198,1120
100_07,10-01-2010,2.517900,0.737312,112.000000,0.699245,0.292271,0.774433,1555
100_07,11-01-2010,2.754173,0.826204,106.000000,0.708963,0.283414,0.844656,1641
100_07,12-01-2010,2.680928,0.792977,99.000000,0.782161,0.212278,0.862055,1804
100_08,01-01-2011,3.032358,0.808764,82.000000,0.791014,0.204923,1.018248,201
100_08,02-01-2011,,0.844186,79.000000,0.586702,0.409492,0.927203,
100_08,03-01-2011,4.077834,0.965117,77.000000,0.688580,0.307995,1.358885,207
100_08,04-01-2010,2.778939,0.723979,96.000000,0.818944,0.178373,1.634441,236
100_08,05-01-2010,3.140472,0.764155,94.000000,0.756905,0.216523,1.637168,244
100_08,06-01-2010,3.392683,0.764434,95.000000,0.772630,0.214457,1.786325,248
100_08,07-01-2010,3.040015,0.807087,93.000000,0.576839,0.418650,1.417112,247
100_08,08-01-2010,,1.005798,92.000000,0.625404,0.370720,1.131387,
100_08,09-01-2010,,1.045157,95.000000,0.716533,0.279312,0.739336,
100_08,10-01-2010,3.531465,0.924923,88.000000,0.595690,0.387032,1.065292,210
100_08,11-01-2010,,1.005380,85.000000,0.604592,0.391278,1.521739,
100_08,12-01-2010,,0.811725,82.000000,0.766796,0.225277,1.267490,
100_09,01-01-2010,,0.630172,,,,,
100_09,01-01-2011,2.671595,0.844375,92.000000,0.795958,0.199131,0.961644,1488
100_09,02-01-2010,2.796665,0.668861,76.000000,0.840851,0.146382,1.221176,619
100_09,02-01-2011,3.312216,0.842457,87.000000,0.802795,0.189851,1.033835,1281
100_09,03-01-2010,2.777210,0.689093,90.000000,0.676496,0.312325,1.530398,895
100_09,03-01-2011,3.687178,1.099509,83.000000,0.759429,0.227604,0.943489,1359
100_09,04-01-2010,3.018228,0.673484,105.000000,0.654092,0.337482,1.334571,1716
100_09,05-01-2010,2.858851,0.697126,107.000000,0.716869,0.273705,1.383893,1921
100_09,06-01-2010,2.959678,0.773938,106.000000,0.786630,0.203917,1.611490,1874
100_09,07-01-2010,2.739134,0.804653,106.000000,0.704195,0.287216,1.271218,1772
100_09,07-01-2011,4.370077,1.647166,80.000000,0.721787,0.260197,1.360276,1086
100_09,08-01-2010,2.928220,0.765055,102.000000,0.636898,0.358212,1.024715,1017
100_09,08-01-2011,3.619671,1.326351,86.000000,0.726520,0.265945,1.274079,976
100_09,09-01-2010,2.947286,0.726277,102.000000,0.611883,0.382284,0.925970,1055
100_09,09-01-2011,4.001395,1.367558,83.000000,0.789353,0.199730,1.352273,942
100_09,10-01-2010,2.855279,0.683240,98.000000,0.440046,0.553142,0.748405,1321
100_09,11-01-2010,2.919903,0.764014,96.000000,0.530150,0.463494,0.765327,1271
100_09,12-01-2010,3.000937,0.803965,96.000000,0.634237,0.358457,0.982735,1415
124_ab,01-01-2010,3.990815,0.402454,76.500000,0.772231,0.223087,2.174857,536
124_ab,01-01-2011,3.534759,0.408935,82.000000,0.917340,0.067170,2.379535,8570
124_ab,02-01-2010,4.390340,0.407788,76.000000,0.831739,0.157653,2.828687,7045
124_ab,02-01-2011,3.985877,0.411874,82.000000,0.907550,0.077189,2.411047,8873
124_ab,03-01-2010,4.245966,0.403959,76.000000,0.784831,0.204406,2.677633,10676
124_ab,03-01-2011,4.395945,0.418755,80.000000,0.906226,0.079229,2.467356,9344
124_ab,04-01-2010,4.457837,0.406328,76.000000,0.806657,0.182542,2.762276,9848
124_ab,05-01-2010,4.621923,0.402456,84.000000,0.808666,0.181890,2.793763,9863
124_ab,06-01-2010,4.649527,0.404058,74.000000,0.838983,0.151099,3.016133,8041
124_ab,07-01-2010,4.683233,0.405855,71.000000,0.828744,0.159446,2.828925,7016
124_ab,07-01-2011,4.211374,0.516229,94.000000,0.919636,0.063720,2.677102,7624
124_ab,08-01-2010,3.994004,0.393913,76.000000,0.874736,0.111679,2.152059,13876
124_ab,08-01-2011,4.669712,0.529198,86.000000,0.917964,0.059091,2.672605,5017
124_ab,09-01-2010,3.698814,0.381792,77.000000,0.899674,0.086794,2.295569,14657
124_ab,09-01-2011,4.526897,0.591434,89.000000,0.928882,0.057336,2.709742,4739
124_ab,10-01-2010,3.818132,0.402799,86.000000,0.875509,0.112596,2.247716,10681
124_ab,11-01-2010,3.807523,0.408377,82.000000,0.881621,0.106193,2.306569,10370
124_ab,12-01-2010,3.963539,0.408056,82.000000,0.913524,0.072584,2.578056,10405
124_bc,01-01-2010,4.344880,0.353739,57.000000,0.482721,0.504915,2.017477,742
124_bc,01-01-2011,4.260211,0.403623,49.000000,0.796100,0.192296,2.265381,10589
124_bc,02-01-2010,4.285271,0.396885,57.000000,0.530829,0.460956,2.576267,8309
124_bc,02-01-2011,4.649186,0.408573,39.000000,0.669237,0.318183,2.195777,10589
124_bc,03-01-2010,4.183430,0.400467,57.000000,0.537741,0.454207,2.559521,14580
124_bc,03-01-2011,5.117668,0.412235,30.000000,0.629870,0.355312,2.387000,11010
124_bc,04-01-2010,4.488855,0.405235,56.000000,0.532604,0.457762,2.585220,12845
124_bc,05-01-2010,4.772406,0.404052,56.000000,0.484356,0.505627,2.628259,12747
124_bc,06-01-2010,4.760122,0.404268,57.000000,0.580384,0.413751,2.775045,11095
124_bc,07-01-2010,4.883979,0.404982,55.000000,0.515430,0.476837,2.657177,9215
124_bc,07-01-2011,6.643729,0.444416,34.000000,0.547876,0.441063,2.548118,8915
